Source Name	Characteristics[OperatorVariation]	Characteristics[DataSource]	Characteristics[4 meta-groups]	Characteristics[15 meta-groups]	Characteristics[369 groups]	Characteristics[groups with 10 and more replicates]	Characteristics[Blood/NonBlood meta-groups]	Characteristics[Organism]	Characteristics[OrganismPart]	Characteristics[CellType]	Characteristics[CellLine]	Characteristics[DiseaseState]	Characteristics[DevelopmentalStage]	Characteristics[DiseaseStage]	Characteristics[Sex]	Characteristics[Age]	Characteristics[Generalization 6 on reduced data]	Labeled Extract Name	Label	Hybridization Name	Array Design REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value[4 meta-groups]	Factor Value[15 meta-groups]	Factor Value[369 groups]	Factor Value[Blood-NonBlood meta-groups]	Factor Value[6 meta-groups]	Factor Value[4 groups from blood to incompletely diff]	Factor Value[96 groups]
481789094.CEL	"Lizi,,Wu"	E-MEXP-340	cell line	solid tissue neoplasm cell line	HeLa cervical adenocarcinoma transfected	HeLa cervical adenocarcinoma transfected	non blood	Homo sapiens	cervix	  	HeLa Tet-On	cervical carcinoma	  	  	  	  	cell line	481789094.CEL_L	biotin	481789094.CEL	A-AFFY-33	481789094.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.64.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	cell line	solid tissue neoplasm cell line	HeLa cervical adenocarcinoma transfected	non blood	cell line	the rest	HeLa cervical adenocarcinoma transfected
481789215.CEL	"Lizi,,Wu"	E-MEXP-340	cell line	solid tissue neoplasm cell line	HeLa cervical adenocarcinoma transfected	HeLa cervical adenocarcinoma transfected	non blood	Homo sapiens	cervix	  	HeLa Tet-On	cervical carcinoma	  	  	  	  	cell line	481789215.CEL_L	biotin	481789215.CEL	A-AFFY-33	481789215.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.64.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	cell line	solid tissue neoplasm cell line	HeLa cervical adenocarcinoma transfected	non blood	cell line	the rest	HeLa cervical adenocarcinoma transfected
481789272.CEL	"Lizi,,Wu"	E-MEXP-340	cell line	solid tissue neoplasm cell line	HeLa cervical adenocarcinoma transfected	HeLa cervical adenocarcinoma transfected	non blood	Homo sapiens	cervix	  	HeLa Tet-On	cervical carcinoma	  	  	  	  	cell line	481789272.CEL_L	biotin	481789272.CEL	A-AFFY-33	481789272.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.64.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	cell line	solid tissue neoplasm cell line	HeLa cervical adenocarcinoma transfected	non blood	cell line	the rest	HeLa cervical adenocarcinoma transfected
481789329.CEL	"Lizi,,Wu"	E-MEXP-340	cell line	solid tissue neoplasm cell line	HeLa cervical adenocarcinoma transfected	HeLa cervical adenocarcinoma transfected	non blood	Homo sapiens	cervix	  	HeLa Tet-On	cervical carcinoma	  	  	  	  	cell line	481789329.CEL_L	biotin	481789329.CEL	A-AFFY-33	481789329.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.64.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	cell line	solid tissue neoplasm cell line	HeLa cervical adenocarcinoma transfected	non blood	cell line	the rest	HeLa cervical adenocarcinoma transfected
481789386.CEL	"Lizi,,Wu"	E-MEXP-340	cell line	solid tissue neoplasm cell line	HeLa cervical adenocarcinoma transfected	HeLa cervical adenocarcinoma transfected	non blood	Homo sapiens	cervix	  	HeLa Tet-On	cervical carcinoma	  	  	  	  	cell line	481789386.CEL_L	biotin	481789386.CEL	A-AFFY-33	481789386.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.64.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	cell line	solid tissue neoplasm cell line	HeLa cervical adenocarcinoma transfected	non blood	cell line	the rest	HeLa cervical adenocarcinoma transfected
481789443.CEL	"Lizi,,Wu"	E-MEXP-340	cell line	solid tissue neoplasm cell line	HeLa cervical adenocarcinoma transfected	HeLa cervical adenocarcinoma transfected	non blood	Homo sapiens	cervix	  	HeLa Tet-On	cervical carcinoma	  	  	  	  	cell line	481789443.CEL_L	biotin	481789443.CEL	A-AFFY-33	481789443.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.64.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	cell line	solid tissue neoplasm cell line	HeLa cervical adenocarcinoma transfected	non blood	cell line	the rest	HeLa cervical adenocarcinoma transfected
481789507.CEL	"Lizi,,Wu"	E-MEXP-340	cell line	solid tissue neoplasm cell line	HeLa cervical adenocarcinoma transfected	HeLa cervical adenocarcinoma transfected	non blood	Homo sapiens	cervix	  	HeLa Tet-On	cervical carcinoma	  	  	  	  	cell line	481789507.CEL_L	biotin	481789507.CEL	A-AFFY-33	481789507.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.64.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	cell line	solid tissue neoplasm cell line	HeLa cervical adenocarcinoma transfected	non blood	cell line	the rest	HeLa cervical adenocarcinoma transfected
484691875.CEL	"Shula,,Blum"	E-TABM-15	neoplasm	non breast carcinoma	lung cancer	lung cancer	non blood	Homo sapiens	lung	  	  	lung adenocarcinoma	  	  	male	72	solid tissue	484691875.CEL_L	biotin	484691875.CEL	A-AFFY-33	484691875.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.76.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	non breast carcinoma	lung cancer	non blood	solid tissue	the rest	lung cancer
484691883.CEL	"Shula,,Blum"	E-TABM-15	neoplasm	non breast carcinoma	lung cancer	lung cancer	non blood	Homo sapiens	lung	  	  	lung adenocarcinoma	  	  	male	72	solid tissue	484691883.CEL_L	biotin	484691883.CEL	A-AFFY-33	484691883.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.76.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	non breast carcinoma	lung cancer	non blood	solid tissue	the rest	lung cancer
484691899.CEL	"Shula,,Blum"	E-TABM-15	neoplasm	non breast carcinoma	lung cancer	lung cancer	non blood	Homo sapiens	lung	  	  	lung adenocarcinoma	  	  	male	54	solid tissue	484691899.CEL_L	biotin	484691899.CEL	A-AFFY-33	484691899.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.75.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	non breast carcinoma	lung cancer	non blood	solid tissue	the rest	lung cancer
484691931.CEL	"Shula,,Blum"	E-TABM-15	neoplasm	non breast carcinoma	lung cancer	lung cancer	non blood	Homo sapiens	lung	  	  	lung adenocarcinoma	  	  	male	50	solid tissue	484691931.CEL_L	biotin	484691931.CEL	A-AFFY-33	484691931.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.75.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	non breast carcinoma	lung cancer	non blood	solid tissue	the rest	lung cancer
484691939.CEL	"Shula,,Blum"	E-TABM-15	neoplasm	non breast carcinoma	lung cancer	lung cancer	non blood	Homo sapiens	lung	  	  	lung adenocarcinoma	  	  	female	73	solid tissue	484691939.CEL_L	biotin	484691939.CEL	A-AFFY-33	484691939.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.75.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	non breast carcinoma	lung cancer	non blood	solid tissue	the rest	lung cancer
484691947.CEL	"Shula,,Blum"	E-TABM-15	neoplasm	non breast carcinoma	lung cancer	lung cancer	non blood	Homo sapiens	lung	  	  	lung adenocarcinoma	  	  	female	73	solid tissue	484691947.CEL_L	biotin	484691947.CEL	A-AFFY-33	484691947.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.76.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	non breast carcinoma	lung cancer	non blood	solid tissue	the rest	lung cancer
484691979.CEL	"Shula,,Blum"	E-TABM-15	neoplasm	non breast carcinoma	lung cancer	lung cancer	non blood	Homo sapiens	lung	  	  	lung adenocarcinoma	  	  	female	72	solid tissue	484691979.CEL_L	biotin	484691979.CEL	A-AFFY-33	484691979.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.76.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	non breast carcinoma	lung cancer	non blood	solid tissue	the rest	lung cancer
484692003.CEL	"Shula,,Blum"	E-TABM-15	neoplasm	non breast carcinoma	lung cancer	lung cancer	non blood	Homo sapiens	lung	  	  	lung adenocarcinoma	  	  	female	73	solid tissue	484692003.CEL_L	biotin	484692003.CEL	A-AFFY-33	484692003.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.76.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	non breast carcinoma	lung cancer	non blood	solid tissue	the rest	lung cancer
484692011.CEL	"Shula,,Blum"	E-TABM-15	neoplasm	non breast carcinoma	lung cancer	lung cancer	non blood	Homo sapiens	lung	  	  	lung adenocarcinoma	  	  	male	75	solid tissue	484692011.CEL_L	biotin	484692011.CEL	A-AFFY-33	484692011.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.76.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	non breast carcinoma	lung cancer	non blood	solid tissue	the rest	lung cancer
484692019.CEL	"Shula,,Blum"	E-TABM-15	neoplasm	non breast carcinoma	lung cancer	lung cancer	non blood	Homo sapiens	lung	  	  	lung adenocarcinoma	  	  	male	65	solid tissue	484692019.CEL_L	biotin	484692019.CEL	A-AFFY-33	484692019.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.76.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	non breast carcinoma	lung cancer	non blood	solid tissue	the rest	lung cancer
484692027.CEL	"Shula,,Blum"	E-TABM-15	neoplasm	non breast carcinoma	lung cancer	lung cancer	non blood	Homo sapiens	lung	  	  	lung adenocarcinoma	  	  	male	85	solid tissue	484692027.CEL_L	biotin	484692027.CEL	A-AFFY-33	484692027.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.75.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	non breast carcinoma	lung cancer	non blood	solid tissue	the rest	lung cancer
484692043.CEL	"Shula,,Blum"	E-TABM-15	neoplasm	non breast carcinoma	lung cancer	lung cancer	non blood	Homo sapiens	lung	  	  	lung adenocarcinoma	  	  	male	72	solid tissue	484692043.CEL_L	biotin	484692043.CEL	A-AFFY-33	484692043.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.75.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	non breast carcinoma	lung cancer	non blood	solid tissue	the rest	lung cancer
484692051.CEL	"Shula,,Blum"	E-TABM-15	neoplasm	non breast carcinoma	lung cancer	lung cancer	non blood	Homo sapiens	lung	  	  	lung adenocarcinoma	  	  	male	85	solid tissue	484692051.CEL_L	biotin	484692051.CEL	A-AFFY-33	484692051.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.75.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	non breast carcinoma	lung cancer	non blood	solid tissue	the rest	lung cancer
484692059.CEL	"Shula,,Blum"	E-TABM-15	neoplasm	non breast carcinoma	lung cancer	lung cancer	non blood	Homo sapiens	lung	  	  	lung adenocarcinoma	  	  	male	72	solid tissue	484692059.CEL_L	biotin	484692059.CEL	A-AFFY-33	484692059.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.75.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	non breast carcinoma	lung cancer	non blood	solid tissue	the rest	lung cancer
484692099.CEL	"Shula,,Blum"	E-TABM-15	neoplasm	non breast carcinoma	lung cancer	lung cancer	non blood	Homo sapiens	lung	  	  	lung adenocarcinoma	  	  	male	45	solid tissue	484692099.CEL_L	biotin	484692099.CEL	A-AFFY-33	484692099.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.75.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	non breast carcinoma	lung cancer	non blood	solid tissue	the rest	lung cancer
484692139.CEL	"Shula,,Blum"	E-TABM-15	neoplasm	non breast carcinoma	lung cancer	lung cancer	non blood	Homo sapiens	lung	  	  	lung adenocarcinoma	  	  	female	62	solid tissue	484692139.CEL_L	biotin	484692139.CEL	A-AFFY-33	484692139.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.77.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	non breast carcinoma	lung cancer	non blood	solid tissue	the rest	lung cancer
484692155.CEL	"Shula,,Blum"	E-TABM-15	neoplasm	non breast carcinoma	lung cancer	lung cancer	non blood	Homo sapiens	lung	  	  	lung adenocarcinoma	  	  	female	74	solid tissue	484692155.CEL_L	biotin	484692155.CEL	A-AFFY-33	484692155.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.76.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	non breast carcinoma	lung cancer	non blood	solid tissue	the rest	lung cancer
484692163.CEL	"Shula,,Blum"	E-TABM-15	neoplasm	non breast carcinoma	lung cancer	lung cancer	non blood	Homo sapiens	lung	  	  	lung adenocarcinoma	  	  	male	75	solid tissue	484692163.CEL_L	biotin	484692163.CEL	A-AFFY-33	484692163.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.75.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	non breast carcinoma	lung cancer	non blood	solid tissue	the rest	lung cancer
484692171.CEL	"Shula,,Blum"	E-TABM-15	neoplasm	non breast carcinoma	lung cancer	lung cancer	non blood	Homo sapiens	lung	  	  	lung adenocarcinoma	  	  	male	75	solid tissue	484692171.CEL_L	biotin	484692171.CEL	A-AFFY-33	484692171.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.76.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	non breast carcinoma	lung cancer	non blood	solid tissue	the rest	lung cancer
484692179.CEL	"Shula,,Blum"	E-TABM-15	neoplasm	non breast carcinoma	lung cancer	lung cancer	non blood	Homo sapiens	lung	  	  	lung adenocarcinoma	  	  	female	68	solid tissue	484692179.CEL_L	biotin	484692179.CEL	A-AFFY-33	484692179.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.76.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	non breast carcinoma	lung cancer	non blood	solid tissue	the rest	lung cancer
484692187.CEL	"Shula,,Blum"	E-TABM-15	neoplasm	non breast carcinoma	lung cancer	lung cancer	non blood	Homo sapiens	lung	  	  	lung adenocarcinoma	  	  	male	60	solid tissue	484692187.CEL_L	biotin	484692187.CEL	A-AFFY-33	484692187.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.75.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	non breast carcinoma	lung cancer	non blood	solid tissue	the rest	lung cancer
484692195.CEL	"Shula,,Blum"	E-TABM-15	neoplasm	non breast carcinoma	lung cancer	lung cancer	non blood	Homo sapiens	lung	  	  	lung adenocarcinoma	  	  	male	60	solid tissue	484692195.CEL_L	biotin	484692195.CEL	A-AFFY-33	484692195.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.75.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	non breast carcinoma	lung cancer	non blood	solid tissue	the rest	lung cancer
484695708.CEL	"Stephen,,Henderson"	E-MEXP-353	neoplasm	sarcoma	monophasic synovial sarcoma	  	non blood	Homo sapiens	right calf	  	  	monophasic synovial sarcoma	adult	  	  	  	  	484695708.CEL_L	biotin	484695708.CEL	A-AFFY-33	484695708.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.95.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	sarcoma	monophasic synovial sarcoma	non blood	  	connective	    
484695822.CEL	"Stephen,,Henderson"	E-MEXP-353	neoplasm	sarcoma	alveolar rhabdomyosarcoma	  	non blood	Homo sapiens	lung	  	  	alveolar rhabdomyosarcoma	adult	  	  	  	  	484695822.CEL_L	biotin	484695822.CEL	A-AFFY-33	484695822.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.12.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	sarcoma	alveolar rhabdomyosarcoma	non blood	  	connective	    
484695928.CEL	"Stephen,,Henderson"	E-MEXP-353	neoplasm	sarcoma	alveolar rhabdomyosarcoma	  	non blood	Homo sapiens	Abdominus	  	  	alveolar rhabdomyosarcoma	adult	  	female	  	  	484695928.CEL_L	biotin	484695928.CEL	A-AFFY-33	484695928.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.12.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	sarcoma	alveolar rhabdomyosarcoma	non blood	  	connective	    
484695981.CEL	"Stephen,,Henderson"	E-MEXP-353	neoplasm	sarcoma	embryonal rhabdomyosarcoma	embryonal rhabdomyosarcoma	non blood	Homo sapiens	Abdominus	  	  	embryonal rhabdomyosarcoma	adult	  	  	  	solid tissue	484695981.CEL_L	biotin	484695981.CEL	A-AFFY-33	484695981.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.51.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	sarcoma	embryonal rhabdomyosarcoma	non blood	solid tissue	connective	embryonal rhabdomyosarcoma
484696087.CEL	"Stephen,,Henderson"	E-MEXP-353	neoplasm	sarcoma	embryonal rhabdomyosarcoma	embryonal rhabdomyosarcoma	non blood	Homo sapiens	extracranial	  	  	embryonal rhabdomyosarcoma	adult	  	male	  	solid tissue	484696087.CEL_L	biotin	484696087.CEL	A-AFFY-33	484696087.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.52.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	sarcoma	embryonal rhabdomyosarcoma	non blood	solid tissue	connective	embryonal rhabdomyosarcoma
484696218.CEL	"Stephen,,Henderson"	E-MEXP-353	neoplasm	sarcoma	ewings sarcoma	ewings sarcoma	non blood	Homo sapiens	left thigh	  	  	Ewings Sarcoma	adult	  	male	  	solid tissue	484696218.CEL_L	biotin	484696218.CEL	A-AFFY-33	484696218.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.54.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	sarcoma	ewings sarcoma	non blood	solid tissue	connective	ewings sarcoma
484696244.CEL	"Stephen,,Henderson"	E-MEXP-353	neoplasm	sarcoma	ewings sarcoma	ewings sarcoma	non blood	Homo sapiens	T5 vertebra	  	  	Ewings Sarcoma	adult	  	male	  	solid tissue	484696244.CEL_L	biotin	484696244.CEL	A-AFFY-33	484696244.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.54.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	sarcoma	ewings sarcoma	non blood	solid tissue	connective	ewings sarcoma
484696270.CEL	"Stephen,,Henderson"	E-MEXP-353	neoplasm	sarcoma	leiomyosarcoma	  	non blood	Homo sapiens	left forearm	  	  	leiomyosarcoma	adult	  	male	  	  	484696270.CEL_L	biotin	484696270.CEL	A-AFFY-33	484696270.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.73.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	neoplasm	sarcoma	leiomyosarcoma	non blood	  	connective	    
